Character	Comics
Blob	Avengers Annual (1967) #15
Blob	Cable (1993) #87
Blob	Daredevil (1963) #269
Blob	Decimation: Generation M (Trade Paperback)
Blob	Exiles (2001) #14
Blob	Exiles Vol. 3: Out of Time (Trade Paperback)
Blob	Generation M (2005) #3
Blob	Marvel Masterworks: The Uncanny X-Men Vol. (Hardcover)
Blob	Uncanny X-Men (1963) #86
Blob	Uncanny X-Men (1963) #140
Blob	Uncanny X-Men (1963) #141
Blob	Uncanny X-Men (1963) #142
Blob	Uncanny X-Men (1963) #177
Blob	Uncanny X-Men (1963) #178
Blob	Uncanny X-Men (1963) #199
Blob	Uncanny X-Men (1963) #200
Blob	Uncanny X-Men (1963) #206
Blob	Uncanny X-Men (1963) #223
Blob	Uncanny X-Men (1963) #225
Blob	Uncanny X-Men (1963) #226
Mysterio	Amazing Spider-Man (1963) #141
Mysterio	Amazing Spider-Man (1963) #142
Mysterio	Amazing Spider-Man (1963) #198
Mysterio	Amazing Spider-Man (1963) #199
Mysterio	Amazing Spider-Man (1999) #612
Mysterio	Amazing Spider-Man (1999) #612 (VARIANT)
Mysterio	Amazing Spider-Man (1999) #612 (GRANOV 50/50 COVER)
Mysterio	Amazing Spider-Man (1999) #614
Mysterio	Amazing Spider-Man (1999) #618 (VILLAIN VARIANT)
Mysterio	Amazing Spider-Man (1999) #620
Mysterio	Amazing Spider-Man (1999) #620 (DEADPOOL VARIANT)
Mysterio	Amazing Spider-Man (1999) #634 (2ND PRINTING VARIANT)
Mysterio	Amazing Spider-Man (1999) #644
Mysterio	Amazing Spider-Man (1999) #644 (BACHALO VARIANT)
Mysterio	Amazing Spider-Man (1999) #645 (SPIDEY VS. VARIANT)
Mysterio	Amazing Spider-Man (1999) #646
Mysterio	Bishop: The Last X-Man (1999) #2
Mysterio	Daredevil (1998) #7
Mysterio	Daredevil Visionaries: Kevin Smith (Daredevil Vol. I: Guardian Devil) (Trade Paperback)
Mysterio	Friendly Neighborhood Spider-Man (2005) #13
Gwen Stacy (Ultimate)	Ultimate Comics Spider-Man (2011) #4
Gwen Stacy (Ultimate)	Ultimate Fallout (2011) #1
Gwen Stacy (Ultimate)	Ultimate Fallout (2011) #1 (Diamond Variant)
Gwen Stacy (Ultimate)	Ultimate Fallout (2011) #1 (Djurdjevic Variant)
Skaar	Incredible Hulk Vol. 3: World War Hulks (Trade Paperback)
Skaar	Incredible Hulks (2009) #602 (SHS VARIANT)
Skaar	Incredible Hulks (2009) #603 (SHS VARIANT)
Skaar	Incredible Hulks (2009) #603 (ZOMBIE VARIANT)
Skaar	Incredible Hulks (2009) #605 (DJURDJEVIC 70TH ANNIVERSARY VARIANT)
Skaar	Incredible Hulks (2009) #607 (MCGUINNESS VARIANT)
Skaar	Incredible Hulks (2009) #608 (VARIANT)
Skaar	Incredible Hulks (2009) #609 (VARIANT)
Skaar	Incredible Hulks (2009) #625
Skaar	Incredible Hulks: Planet Savage TPB (Trade Paperback)
Skaar	Skaar: King of the Savage Land (2011) #1
Skaar	Skaar: King of the Savage Land (2011) #1 (TAN VARIANT)
Skaar	Skaar: King of the Savage Land (2011) #5
Abyss	Uncanny X-Men (1963) #402
Abyss	Uncanny X-Men (1963) #404
Abyss	Uncanny X-Men (1963) #405
Abyss	Uncanny X-Men (1963) #406
Abyss	Uncanny X-Men (1963) #429
Abyss	Uncanny X-Men (1963) #431
Abyss	X-Men: Alpha (1994) #1
Abyss	X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback)
Deathlok	Deathlok (2009) #1
Deathlok	Deathlok (Trade Paperback)
Deathlok	Deathlok (2009) #1 (BUCKLER VARIANT)
Deathlok	Deathlok (2009) #2
Deathlok	Deathlok (2009) #3
Deathlok	Deathlok (2009) #4
Deathlok	Deathlok (2009) #5
Deathlok	Deathlok (2009) #6
Deathlok	Deathlok (2009) #7
Deathlok	Marvel Comics Presents (1988) #62
Deathlok	Marvel Comics Presents: Wolverine Vol. 4 (Trade Paperback)
Deathlok	Marvel Fanfare (1982) #4
Deathlok	Marvel Fanfare (1982) #23
Deathlok	Marvel Spotlight (1971) #33
Deathlok	Marvel Two-in-One (1974) #54
Deathlok	Nick Fury, Agent of Shield (1989) #30
Deathlok	Paradise X (2002) #9
Deathlok	Paradise X Vol. 2 (New Printing) (Trade Paperback)
Deathlok	Uncanny X-Force (2010) #7
Deathlok	Uncanny X-Force (2010) #8
Mr. Fixit	Incredible Hulk (1999) #27
Mr. Fixit	Incredible Hulk (1999) #28
Mr. Fixit	Incredible Hulk (1999) #30
Solo (James Bourne)	Marvel Comics Presents (1988) #88
Solo (James Bourne)	Marvel Comics Presents (1988) #124
Old Lace	Runaways (2003) #2
Old Lace	Runaways (2003) #3
Old Lace	Runaways (2003) #4
Old Lace	Runaways (2003) #5
Old Lace	Runaways (2003) #6
Old Lace	Runaways (2008) #10
Old Lace	Runaways (2005) #18
Old Lace	Runaways (2005) #27
Old Lace	Runaways Vol. 1: Pride & Joy (Digest)
Old Lace	Runaways Vol. 6: Parental Guidance (Digest)
Chronomancer	Bishop: The Last X-Man (1999) #3
Chronomancer	Bishop: The Last X-Man (1999) #6
Chronomancer	Bishop: The Last X-Man (1999) #7
She-Hulk (Jennifer Walters)	Adam: Legend of the Blue Marvel (Trade Paperback)
She-Hulk (Jennifer Walters)	Adam: Legend of the Blue Marvel (2008) #1
She-Hulk (Jennifer Walters)	All-New Savage She-Hulk (2009) #1
She-Hulk (Jennifer Walters)	All-New Savage She-Hulk (2009) #2
She-Hulk (Jennifer Walters)	Alpha Flight (1983) #61
She-Hulk (Jennifer Walters)	Alpha Flight (1983) #111
She-Hulk (Jennifer Walters)	Alpha Flight (1983) #127
She-Hulk (Jennifer Walters)	Atlantis Attacks (2011) #1
She-Hulk (Jennifer Walters)	Atlantis Attacks (DM Only) (2011)
She-Hulk (Jennifer Walters)	Avengers (1998) #1
She-Hulk (Jennifer Walters)	Avengers (1998) #2
She-Hulk (Jennifer Walters)	Avengers (1998) #3
She-Hulk (Jennifer Walters)	Avengers (1998) #4
She-Hulk (Jennifer Walters)	Avengers (1998) #27
