Character	Events
Blob	Age of Apocalypse
Blob	Evolutionary War
Blob	Fall of the Mutants
Blob	Mutant Massacre
Blob	Secret Wars
Abyss	Age of Apocalypse
She-Hulk (Jennifer Walters)	Atlantis Attacks
She-Hulk (Jennifer Walters)	Civil War
She-Hulk (Jennifer Walters)	Dark Reign
She-Hulk (Jennifer Walters)	Fear Itself
She-Hulk (Jennifer Walters)	Infinity Gauntlet
She-Hulk (Jennifer Walters)	Infinity War
She-Hulk (Jennifer Walters)	Maximum Security
She-Hulk (Jennifer Walters)	Secret Invasion
She-Hulk (Jennifer Walters)	Secret Wars
She-Hulk (Jennifer Walters)	Secret Wars II
She-Hulk (Jennifer Walters)	World War Hulk
She-Hulk (Jennifer Walters)	X-Tinction Agenda
Beetle	Acts of Vengeance!
Beetle	Armor Wars
High Evolutionary	Annihilation: Conquest
High Evolutionary	Evolutionary War
Goliath (Bill Foster)	Civil War
Maria Hill	Initiative
Maria Hill	Secret Invasion
Ben Urich	Initiative
Bullseye	Civil War
Bullseye	Dark Reign
Bullseye	Initiative
Storm	Acts of Vengeance!
Storm	Age of Apocalypse
Storm	Age of X
Storm	Atlantis Attacks
Storm	Avengers VS X-Men
Storm	Civil War
Storm	Days of Future Present
Storm	Enemy of the State
Storm	Evolutionary War
Storm	Fall of the Mutants
Storm	Fatal Attractions
Storm	Inferno
Storm	Infinity War
Storm	Initiative
Storm	Maximum Security
Storm	Messiah CompleX
Storm	Mutant Massacre
Storm	Onslaught
Storm	Secret Wars
Storm	Secret Wars II
Human Robot	Dark Reign
Human Robot	Initiative
Puck	Fear Itself
Puck	Infinity War
Echo	Initiative
Echo	Secret Invasion
Gravity	Dark Reign
Gravity	Fear Itself
Gravity	Secret Invasion
Gravity	Spider-Island
Humbug	World War Hulk
Gorilla Man	Dark Reign
Carlie Cooper	Spider-Island
Dazzler	Acts of Vengeance!
Dazzler	Atlantis Attacks
Dazzler	Evolutionary War
Dazzler	Fall of the Mutants
Dazzler	Inferno
Dazzler	Secret Wars II
Mojo	Acts of Vengeance!
Mojo	Evolutionary War
Lockheed	Fatal Attractions
Lockheed	Mutant Massacre
Lockheed	Onslaught
Lockheed	Secret Wars
Quasar (Phyla-Vell)	Acts of Vengeance!
Quasar (Phyla-Vell)	Annihilation: Conquest
Quasar (Phyla-Vell)	Atlantis Attacks
Quasar (Phyla-Vell)	Infinity Gauntlet
Quasar (Phyla-Vell)	Infinity War
Quasar (Phyla-Vell)	Maximum Security
Quasar (Phyla-Vell)	Secret Wars
Elektra	Enemy of the State
Elektra	Fear Itself
Elektra	Initiative
Elektra	Marvel NOW!
Elektra	Onslaught
Elektra	Secret Invasion
Elektra	Spider-Island
Skrulls	Dark Reign
Skrulls	Secret Invasion
Shang-Chi	Fear Itself
Shang-Chi	Shattered Heroes
Shang-Chi	Spider-Island
Shang-Chi	World War Hulk
Man-Thing	Fear Itself
Man-Thing	Infinity Gauntlet
Man-Thing	Siege of Darkness
Black Knight	Acts of Vengeance!
Black Knight	Infinity War
Black Knight	Secret Wars II
Titania	Fear Itself
Titania	Shattered Heroes
Cypher	Fear Itself
Cypher	X-Men: Regenesis
Night Thrasher	Acts of Vengeance!
Night Thrasher	Initiative
Night Thrasher	Kings of Pain
Doctor Octopus	Secret Wars
Sasquatch (Walter Langkowski)	Fear Itself
Sasquatch (Walter Langkowski)	Infinity War
Sasquatch (Walter Langkowski)	Secret Invasion
Mandarin	Acts of Vengeance!
Lilandra	Acts of Vengeance!
Lilandra	Fatal Attractions
Lilandra	Maximum Security
Lilandra	Secret Wars II
Bushwacker	Acts of Vengeance!
Nightmare	Infinity Gauntlet
Hepzibah	Maximum Security
Hepzibah	Secret Wars II
Dark Avengers	Dark Reign
Dark Avengers	Siege
Quasar (Wendell Vaughn)	Annihilation
Quasar (Wendell Vaughn)	The Thanos Imperative
Goblin Queen	Inferno
Rockslide	Messiah CompleX
Marvel Boy	Acts of Vengeance!
Marvel Boy	Dark Reign
Marvel Boy	Kings of Pain
Marvel Boy	Siege
Ancient One	Acts of Vengeance!
Ancient One	Infinity Gauntlet
Ancient One	Infinity War
Wind Dancer	Initiative
Guardian	Infinity War
Dagger	Civil War
Dagger	Dark Reign
Dagger	Spider-Island
Beyonder	Secret Wars II
Nova	Acts of Vengeance!
Nova	Annihilation
Nova	Annihilation: Conquest
Nova	Infinity Gauntlet
Nova	Infinity War
Nova	Initiative
Nova	Maximum Security
Nova	Realm of Kings
Nova	Secret Invasion
Nova	The Thanos Imperative
Nova	War of Kings
Wiccan	Civil War
Wiccan	Dark Reign
Wiccan	Siege
Deadpool	Age of Apocalypse
Deadpool	Civil War
Deadpool	Dark Reign
Deadpool	Fear Itself
Deadpool	House of M
Deadpool	Messiah War
Deadpool	Secret Invasion
Deadpool	X-Men: Regenesis
Deadpool	X-Men: Schism
Arcade	Age of Apocalypse
Swordsman	Chaos War
Swordsman	Enemy of the State
Swordsman	Initiative
She-Hulk (Lyra)	Fear Itself
Pestilence	Fall of the Mutants
Warlock (Technarchy)	Fear Itself
Warlock (Technarchy)	X-Men: Regenesis
Callisto	Age of Apocalypse
Callisto	Mutant Massacre
Invisible Woman	Acts of Vengeance!
Invisible Woman	Age of X
Invisible Woman	Atlantis Attacks
Invisible Woman	Chaos War
Invisible Woman	Civil War
Invisible Woman	Dark Reign
Invisible Woman	Days of Future Present
Invisible Woman	House of M
Invisible Woman	Infinity War
Invisible Woman	Initiative
Invisible Woman	Maximum Security
Invisible Woman	Onslaught
Invisible Woman	Secret Wars
Invisible Woman	Secret Wars II
Invisible Woman	Shattered Heroes
Invisible Woman	Spider-Island
Invisible Woman	World War Hulk
Bastion	Onslaught
Bastion	X-Men: Second Coming
Death	Age of Apocalypse
Death	Infinity War
Karma	Fear Itself
Young Avengers	Civil War
Young Avengers	Dark Reign
Young Avengers	Siege
Pyro	Evolutionary War
Pyro	Fall of the Mutants
Pyro	Kings of Pain
Pyro	Mutant Massacre
Pyro	Secret Wars
Hobgoblin (Roderick Kingsley)	Acts of Vengeance!
Hobgoblin (Roderick Kingsley)	Secret Wars
Hobgoblin (Roderick Kingsley)	Spider-Island
Avalanche	Evolutionary War
Avalanche	Fall of the Mutants
Avalanche	Kings of Pain
Avalanche	Mutant Massacre
Avalanche	Secret Wars
Multiple Man	Chaos War
Multiple Man	Kings of Pain
Blockbuster	Inferno
Blockbuster	Mutant Massacre
Tigra (Greer Nelson)	Civil War
Tigra (Greer Nelson)	Dark Reign
Tigra (Greer Nelson)	Evolutionary War
Tigra (Greer Nelson)	Fear Itself
Tigra (Greer Nelson)	Initiative
Tigra (Greer Nelson)	Maximum Security
Tigra (Greer Nelson)	Secret Invasion
Tigra (Greer Nelson)	Shattered Heroes
Tigra (Greer Nelson)	Siege
Tigra (Greer Nelson)	World War Hulk
Proteus	Kings of Pain
Pip	Blood and Thunder
Mantis	Annihilation: Conquest
Mantis	Evolutionary War
Moon Knight	Civil War
Moon Knight	Evolutionary War
Moon Knight	Initiative
Kitty Pryde	Age of Apocalypse
Kitty Pryde	Enemy of the State
Kitty Pryde	Fatal Attractions
Kitty Pryde	Fear Itself
Kitty Pryde	Onslaught
Kitty Pryde	Secret Wars
Kitty Pryde	Secret Wars II
Mr. Hyde	Acts of Vengeance!
Electro	Armor Wars
Electro	Secret Invasion
Mr. Negative	Spider-Island
Armory	Secret Invasion
Korg	Chaos War
Korg	Planet Hulk
Purple Man	Fear Itself
May Parker	Dark Reign
May Parker	Spider-Island
Silver Surfer	Acts of Vengeance!
Silver Surfer	Annihilation
Silver Surfer	Blood and Thunder
Silver Surfer	Chaos War
Silver Surfer	Fear Itself
Silver Surfer	Inferno
Silver Surfer	Infinity Gauntlet
Silver Surfer	Infinity War
Silver Surfer	Initiative
Silver Surfer	Maximum Security
Silver Surfer	Planet Hulk
Silver Surfer	The Thanos Imperative
Rocket Raccoon	Annihilation: Conquest
Rocket Raccoon	The Thanos Imperative
Cannonball	Age of Apocalypse
Cannonball	Age of X
Cannonball	Atlantis Attacks
Cannonball	Days of Future Present
Cannonball	Fatal Attractions
Cannonball	Kings of Pain
Cannonball	Messiah CompleX
Cannonball	Onslaught
Cannonball	Secret Wars II
Cannonball	Siege
Cannonball	X-Tinction Agenda
Mary Jane Watson	Other - Evolve or Die
Mary Jane Watson	Spider-Island
Paladin	Fear Itself
Paladin	Spider-Island
Patriot	Civil War
Patriot	Dark Reign
Thanos	Blood and Thunder
Thanos	Infinity Gauntlet
Thanos	Infinity War
Thanos	The Thanos Imperative
Stature	Civil War
Stature	Dark Reign
Stature	Siege
The Winter Soldier	Chaos War
The Winter Soldier	Civil War
The Winter Soldier	Dark Reign
The Winter Soldier	Fear Itself
The Winter Soldier	Initiative
The Winter Soldier	Shattered Heroes
The Winter Soldier	Siege
The Winter Soldier	Spider-Island
The Winter Soldier	World War Hulks
Mr. Fantastic	Acts of Vengeance!
Mr. Fantastic	Chaos War
Mr. Fantastic	Civil War
Mr. Fantastic	Dark Reign
Mr. Fantastic	Days of Future Present
Mr. Fantastic	Fatal Attractions
Mr. Fantastic	House of M
Mr. Fantastic	Infinity Gauntlet
Mr. Fantastic	Initiative
Mr. Fantastic	Maximum Security
Mr. Fantastic	Onslaught
Mr. Fantastic	Other - Evolve or Die
Mr. Fantastic	Secret Invasion
Mr. Fantastic	Secret Wars
Mr. Fantastic	Secret Wars II
Mr. Fantastic	Shattered Heroes
Mr. Fantastic	Spider-Island
Mr. Fantastic	World War Hulk
Star-Lord (Peter Quill)	Annihilation: Conquest
Star-Lord (Peter Quill)	The Thanos Imperative
Baron Zemo (Heinrich Zemo)	House of M
Blink	Age of Apocalypse
Blink	Onslaught
Forge	Acts of Vengeance!
Forge	Age of Apocalypse
Forge	Days of Future Present
Forge	Evolutionary War
Forge	Fatal Attractions
Forge	Onslaught
Forge	X-Tinction Agenda
Magneto	Acts of Vengeance!
Magneto	Age of Apocalypse
Magneto	Atlantis Attacks
Magneto	Avengers VS X-Men
Magneto	Civil War
Magneto	Fatal Attractions
Magneto	Fear Itself
Magneto	House of M
Magneto	Marvel NOW!
Magneto	Messiah CompleX
Magneto	Mutant Massacre
Magneto	Onslaught
Magneto	Secret Wars
Magneto	Secret Wars II
Magneto	X-Men: Schism
Carmella Unuscione	Fatal Attractions
Moira MacTaggert	Age of X
Gargoyle	Fear Itself
Hank Pym	Civil War
Hank Pym	Dark Reign
Hank Pym	Fear Itself
Hank Pym	Initiative
Hank Pym	Onslaught
Hank Pym	Secret Invasion
Hank Pym	Siege
Colleen Wing	Civil War
Colleen Wing	World War Hulk
Sebastian Shaw	Avengers VS X-Men
Sebastian Shaw	Dark Reign
Sebastian Shaw	X-Men: Regenesis
Spiral (Rita Wayword)	Acts of Vengeance!
Spiral (Rita Wayword)	Evolutionary War
Spiral (Rita Wayword)	Fall of the Mutants
Spiral (Rita Wayword)	Mutant Massacre
Harpoon	Inferno
Harpoon	Mutant Massacre
The Hand	Dark Reign
The Hand	Initiative
The Hand	Secret Invasion
Medusa	The Thanos Imperative
Fantomex	X-Men: Regenesis
Famine	Fall of the Mutants
Sharon Carter	Initiative
Sharon Carter	Shattered Heroes
Amadeus Cho	Dark Reign
Amadeus Cho	Fear Itself
Amadeus Cho	Siege
Dark Phoenix	Evolutionary War
Magik (Illyana Rasputin)	Age of Apocalypse
Magik (Illyana Rasputin)	Avengers VS X-Men
Magik (Illyana Rasputin)	X-Men: Second Coming
Valkyrie	Blood and Thunder
Amiko	Secret Wars
Sif	Blood and Thunder
Sif	Infinity Gauntlet
Sif	Maximum Security
Mister Sinister	Age of Apocalypse
Mister Sinister	Inferno
Mister Sinister	Messiah CompleX
Mister Sinister	Onslaught
Mister Sinister	X-Men: Regenesis
Howard The Duck	Fear Itself
Rachel Grey	Enemy of the State
Rachel Grey	Fall of the Mutants
Iron Fist (Danny Rand)	Avengers VS X-Men
Iron Fist (Danny Rand)	Civil War
Iron Fist (Danny Rand)	Fear Itself
Iron Fist (Danny Rand)	Infinity War
Iron Fist (Danny Rand)	Initiative
Iron Fist (Danny Rand)	Marvel NOW!
Iron Fist (Danny Rand)	Secret Wars II
Iron Fist (Danny Rand)	Shadowland
Iron Fist (Danny Rand)	Spider-Island
Dark X-Men	Dark Reign
Loki	Acts of Vengeance!
Loki	Atlantis Attacks
Loki	Dark Reign
Loki	Fear Itself
Loki	Secret Wars II
Loki	Shattered Heroes
Loki	Siege
Sabretooth	Age of Apocalypse
Sabretooth	Inferno
Sabretooth	Messiah CompleX
Sabretooth	Mutant Massacre
Sabretooth	Onslaught
Sunfire	Age of Apocalypse
Sunfire	Fatal Attractions
Sunfire	Maximum Security
Sunfire	Siege
Red Hulk	Avengers VS X-Men
Red Hulk	Fall of the Hulks
Red Hulk	Fear Itself
MVP	Secret Invasion
Sentinels	Days of Future Present
Sentinels	X-Men: Schism
Leech	Atlantis Attacks
Leech	Evolutionary War
Wolfsbane	Atlantis Attacks
Wolfsbane	Onslaught
Wolfsbane	Secret Wars II
Power Pack	Atlantis Attacks
Miek	Planet Hulk
Blue Marvel	Fear Itself
Blue Marvel	Original Sin
Meltdown	Onslaught
X-Man	Age of Apocalypse
X-Man	Fear Itself
X-Man	Maximum Security
X-Man	Onslaught
X-Man	X-Men: Regenesis
Apocalypse	Acts of Vengeance!
Apocalypse	Age of Apocalypse
Apocalypse	Evolutionary War
Apocalypse	Fall of the Mutants
Apocalypse	Messiah War
Apocalypse	Onslaught
Apocalypse	Siege
Gauntlet	Dark Reign
Gauntlet	Secret Invasion
Gauntlet	Siege
Gauntlet	World War Hulk
Thunderbird (John Proudstar)	Chaos War
Thunderbird (John Proudstar)	Maximum Security
Carnage	Maximum Carnage
Hiroim	Planet Hulk
Stingray (Walter Newell)	Armor Wars
Mystique (House of M)	House of M
Juggernaut	Acts of Vengeance!
Juggernaut	Age of Apocalypse
Juggernaut	Avengers VS X-Men
Juggernaut	Fear Itself
Juggernaut	Inferno
Juggernaut	Infinity War
Juggernaut	Messiah CompleX
Juggernaut	Onslaught
Juggernaut	Shattered Heroes
Scorpion (Carmilla Black)	World War Hulk
X-23	Fear Itself
X-23	Messiah CompleX
X-23	Messiah War
X-23	Shattered Heroes
Drax	Annihilation
Drax	Blood and Thunder
Iron Patriot (James Rhodes)	Avengers VS X-Men
Iron Patriot (James Rhodes)	Fear Itself
Iron Patriot (James Rhodes)	Secret Invasion
Iron Patriot (James Rhodes)	Shattered Heroes
Lizard	Secret Wars
M.O.D.O.K.	Fall of the Hulks
Quicksilver	Age of Apocalypse
Quicksilver	Dark Reign
Quicksilver	Fatal Attractions
Quicksilver	Fear Itself
Quicksilver	House of M
Quicksilver	Onslaught
Quicksilver	Shattered Heroes
Quicksilver	Siege
Madame Masque	Siege
Karnak	Acts of Vengeance!
Karnak	The Thanos Imperative
3-D Man	Secret Invasion
Edwin Jarvis	Dark Reign
Edwin Jarvis	Fear Itself
Edwin Jarvis	Initiative
Edwin Jarvis	Secret Invasion
Edwin Jarvis	Siege
Penance (Robert Baldwin)	Acts of Vengeance!
Penance (Robert Baldwin)	Evolutionary War
Penance (Robert Baldwin)	Fear Itself
Penance (Robert Baldwin)	Initiative
Penance (Robert Baldwin)	Kings of Pain
Penance (Robert Baldwin)	Shattered Heroes
Penance (Robert Baldwin)	Siege
Polaris	Age of Apocalypse
Polaris	Atlantis Attacks
Polaris	Fatal Attractions
Polaris	Infinity War
Polaris	Kings of Pain
Polaris	Onslaught
Red Skull	Acts of Vengeance!
Red Skull	Civil War
Red Skull	Initiative
Red Skull	Onslaught
 Hank Pym	Dark Reign
 Hank Pym	Fear Itself
 Hank Pym	Initiative
 Hank Pym	Secret Invasion
 Hank Pym	Shattered Heroes
 Hank Pym	Siege
Thing	Acts of Vengeance!
Thing	Atlantis Attacks
Thing	Avengers VS X-Men
Thing	Chaos War
Thing	Civil War
Thing	Days of Future Present
Thing	Fall of the Mutants
Thing	Fatal Attractions
Thing	Fear Itself
Thing	House of M
Thing	Inferno
Thing	Infinity Gauntlet
Thing	Initiative
Thing	Maximum Security
Thing	Onslaught
Thing	Secret Invasion
Thing	Secret Wars
Thing	Shattered Heroes
Thing	Spider-Island
Thing	World War Hulk
Omega Flight	Initiative
Marrow	Age of Apocalypse
Sub-Mariner	Age of X
Sub-Mariner	Atlantis Attacks
Sub-Mariner	Avengers VS X-Men
Sub-Mariner	Civil War
Sub-Mariner	Dark Reign
Sub-Mariner	Fear Itself
Sub-Mariner	House of M
Sub-Mariner	Infinity Gauntlet
Sub-Mariner	Initiative
Sub-Mariner	Maximum Security
Sub-Mariner	Secret Invasion
Sub-Mariner	Shattered Heroes
Sub-Mariner	War of Kings
Sub-Mariner	X-Men: Regenesis
Sub-Mariner	X-Men: Schism
Spider-Woman (Charlotte Witter)	Initiative
Vertigo (Savage Land Mutate)	Inferno
Vertigo (Savage Land Mutate)	Mutant Massacre
Masque	Crossing
Masque	Mutant Massacre
Masque	Secret Wars
Tarantula (Luis Alvarez)	Civil War
Tarantula (Luis Alvarez)	World War Hulk
Morbius	Acts of Vengeance!
Morbius	Siege of Darkness
Scarlet Witch	Age of Apocalypse
Scarlet Witch	Avengers Disassembled
Scarlet Witch	Avengers VS X-Men
Scarlet Witch	Dark Reign
Scarlet Witch	House of M
Scarlet Witch	Infinity Gauntlet
Scarlet Witch	Infinity War
Scarlet Witch	Maximum Security
Scarlet Witch	Onslaught
Scarlet Witch	Secret Wars
Scarlet Witch	Secret Wars II
Scarlet Witch	Siege
Scarlet Witch	Siege of Darkness
Selene	Mutant Massacre
New Warriors	Initiative
New Warriors	Secret Invasion
Jubilee	Age of Apocalypse
Jubilee	Age of X
Jubilee	Atlantis Attacks
Jubilee	Days of Future Present
Jubilee	Fatal Attractions
Jubilee	Messiah CompleX
Jubilee	Onslaught
Jubilee	X-Tinction Agenda
Molly Hayes	Civil War
Shaman	Fear Itself
Shaman	Infinity War
Daken	Dark Reign
Franklin Richards	Days of Future Present
Franklin Richards	Evolutionary War
Franklin Richards	Onslaught
Iron Man	Acts of Vengeance!
Iron Man	Age of X
Iron Man	Armor Wars
Iron Man	Atlantis Attacks
Iron Man	Avengers Disassembled
Iron Man	Avengers VS X-Men
Iron Man	Chaos War
Iron Man	Civil War
Iron Man	Crossing
Iron Man	Dark Reign
Iron Man	Enemy of the State
Iron Man	Fatal Attractions
Iron Man	Fear Itself
Iron Man	House of M
Iron Man	Infinity War
Iron Man	Initiative
Iron Man	Maximum Security
Iron Man	Onslaught
Iron Man	Secret Invasion
Iron Man	Secret Wars
Snowbird	Chaos War
Snowbird	Fear Itself
Sentinel	House of M
Sentinel	Messiah CompleX
Sentinel	Onslaught
Sentinel	X-Men: Schism
U.S. Agent	Dark Reign
U.S. Agent	Siege
Purifiers	Evolutionary War
Purifiers	Fear Itself
Synch	Age of Apocalypse
Klaw	Dark Reign
Klaw	Secret Wars
Uatu The Watcher	Infinity War
Hope Summers	Avengers VS X-Men
Hope Summers	Messiah War
Hope Summers	X-Men: Regenesis
Hope Summers	X-Men: Schism
Hope Summers	X-Men: Second Coming
Groot	Annihilation: Conquest
Hulk	Acts of Vengeance!
Hulk	Age of X
Hulk	Avengers VS X-Men
Hulk	Chaos War
Hulk	Dark Reign
Hulk	Fall of the Hulks
Hulk	Fall of the Mutants
Hulk	Fear Itself
Hulk	House of M
Hulk	Infinity Gauntlet
Hulk	Infinity War
Hulk	Initiative
Hulk	Marvel NOW!
Hulk	Maximum Security
Hulk	Onslaught
Hulk	Planet Hulk
Hulk	Realm of Kings
Hulk	Secret Invasion
Hulk	Secret Wars
Hulk	Secret Wars II
Alpha Flight	Acts of Vengeance!
Alpha Flight	Chaos War
Alpha Flight	Fear Itself
Alpha Flight	Infinity War
Alpha Flight	Secret Wars II
Agents of Atlas	Dark Reign
Stepford Cuckoos	Chaos War
Galactus	Fear Itself
Galactus	Infinity Gauntlet
Galactus	Infinity War
Galactus	Initiative
Galactus	Secret Wars
Vengeance (Michael Badilino)	Siege of Darkness
Elixir	Messiah War
Emma Frost	Age of X
Emma Frost	Avengers VS X-Men
Emma Frost	Dark Reign
Emma Frost	Enemy of the State
Emma Frost	Messiah CompleX
Emma Frost	X-Men: Regenesis
Emma Frost	X-Men: Schism
Wolverine	Acts of Vengeance!
Wolverine	Age of Apocalypse
Wolverine	Atlantis Attacks
Wolverine	Avengers VS X-Men
Wolverine	Chaos War
Wolverine	Civil War
Wolverine	Dark Reign
Wolverine	Days of Future Present
Wolverine	Enemy of the State
Wolverine	Evolutionary War
Wolverine	Fall of the Mutants
Wolverine	Fatal Attractions
Wolverine	Fear Itself
Wolverine	House of M
Wolverine	Inferno
Wolverine	Infinity Gauntlet
Wolverine	Infinity War
Wolverine	Maximum Security
Wolverine	Messiah CompleX
Wolverine	Messiah War
Diamondback (Rachel Leighton)	Dark Reign
Diamondback (Rachel Leighton)	Infinity War
Diamondback (Rachel Leighton)	Siege
Harry Osborn	Dark Reign
Stryfe	Messiah War
Banshee (Theresa Rourke)	Age of Apocalypse
Banshee (Theresa Rourke)	Fatal Attractions
Banshee (Theresa Rourke)	Kings of Pain
Banshee (Theresa Rourke)	Onslaught
Banshee (Theresa Rourke)	Secret Invasion
Mockingbird	Dark Reign
Mockingbird	Evolutionary War
Mockingbird	Fear Itself
Spider-Girl (May Parker)	Fear Itself
Havok	Acts of Vengeance!
Havok	Age of Apocalypse
Havok	Atlantis Attacks
Havok	Days of Future Present
Havok	Evolutionary War
Havok	Fall of the Mutants
Havok	Fatal Attractions
Havok	Inferno
Havok	Infinity War
Havok	Messiah CompleX
Havok	Onslaught
Havok	Siege
Havok	X-Tinction Agenda
Morph	Age of Apocalypse
Boomerang	Initiative
Dracula	Fear Itself
Toad	Kings of Pain
Madelyne Pryor	Age of Apocalypse
Madelyne Pryor	Evolutionary War
Holocaust (Age of Apocalypse)	Age of Apocalypse
Holocaust (Age of Apocalypse)	Onslaught
Brood	World War Hulk
Adam Warlock	Annihilation: Conquest
Adam Warlock	Atlantis Attacks
Adam Warlock	Blood and Thunder
Adam Warlock	Days of Future Present
Adam Warlock	Fear Itself
Adam Warlock	Infinity Gauntlet
Adam Warlock	Infinity War
Adam Warlock	Mutant Massacre
Adam Warlock	Secret Wars II
Adam Warlock	X-Tinction Agenda
Magneto (House of M)	House of M
Namora	Dark Reign
Namora	World War Hulk
Grim Reaper	Chaos War
Rogue	Acts of Vengeance!
Rogue	Age of Apocalypse
Rogue	Age of X
Rogue	Atlantis Attacks
Rogue	Civil War
Rogue	Evolutionary War
Rogue	Fall of the Mutants
Rogue	Fatal Attractions
Rogue	Inferno
Rogue	Infinity War
Rogue	Maximum Security
Rogue	Messiah CompleX
Rogue	Mutant Massacre
Rogue	Onslaught
Rogue	Secret Wars
Rogue	Secret Wars II
Rogue	Siege
Rogue	World War Hulk
Feral	Kings of Pain
Vindicator	Fear Itself
Arnim Zola	Civil War
Nightcrawler	Age of Apocalypse
Nightcrawler	Evolutionary War
Nightcrawler	Fall of the Mutants
Nightcrawler	Fatal Attractions
Nightcrawler	Infinity War
Nightcrawler	Maximum Security
Nightcrawler	Messiah CompleX
